laus_code,state_fips_code,county_fips_code,name,year,labor_force,employed,unemployed,unemployment_rate
CN0100100000000,01,001,"Autauga County, AL",2014,25429,23933,1496,5.900000
CN0100300000000,01,003,"Baldwin County, AL",2014,85815,80620,5195,6.100000
CN0100500000000,01,005,"Barbour County, AL",2014,8798,7847,951,10.800000
CN0100700000000,01,007,"Bibb County, AL",2014,8560,7949,611,7.100000
CN0100900000000,01,009,"Blount County, AL",2014,24614,23101,1513,6.100000
CN0101100000000,01,011,"Bullock County, AL",2014,4679,4254,425,9.100000
CN0101300000000,01,013,"Butler County, AL",2014,9253,8460,793,8.600000
CN0101500000000,01,015,"Calhoun County, AL",2014,46924,43208,3716,7.900000
CN0101700000000,01,017,"Chambers County, AL",2014,15190,14165,1025,6.700000
CN0101900000000,01,019,"Cherokee County, AL",2014,11299,10638,661,5.900000
CN0102100000000,01,021,"Chilton County, AL",2014,19121,17920,1201,6.300000
CN0102300000000,01,023,"Choctaw County, AL",2014,4479,4073,406,9.100000
CN0102500000000,01,025,"Clarke County, AL",2014,8101,7091,1010,12.500000
CN0102700000000,01,027,"Clay County, AL",2014,5446,5053,393,7.200000
CN0102900000000,01,029,"Cleburne County, AL",2014,5764,5377,387,6.700000
CN0103100000000,01,031,"Coffee County, AL",2014,20213,18862,1351,6.700000
CN0103300000000,01,033,"Colbert County, AL",2014,24016,22045,1971,8.200000
CN0103500000000,01,035,"Conecuh County, AL",2014,4629,4132,497,10.700000
CN0103700000000,01,037,"Coosa County, AL",2014,4400,4011,389,8.800000
CN0103900000000,01,039,"Covington County, AL",2014,15771,14547,1224,7.800000
CN0104100000000,01,041,"Crenshaw County, AL",2014,6244,5810,434,7.000000
CN0104300000000,01,043,"Cullman County, AL",2014,35477,33314,2163,6.100000
CN0104500000000,01,045,"Dale County, AL",2014,20397,18938,1459,7.200000
CN0104700000000,01,047,"Dallas County, AL",2014,15747,13926,1821,11.600000
CN0104900000000,01,049,"DeKalb County, AL",2014,28655,26666,1989,6.900000
CN0105100000000,01,051,"Elmore County, AL",2014,36381,34281,2100,5.800000
CN0105300000000,01,053,"Escambia County, AL",2014,14194,13027,1167,8.200000
CN0105500000000,01,055,"Etowah County, AL",2014,43578,40515,3063,7.000000
CN0105700000000,01,057,"Fayette County, AL",2014,6281,5785,496,7.900000
CN0105900000000,01,059,"Franklin County, AL",2014,13641,12578,1063,7.800000
